"","State","CD","HRCper"
"304","39","10",0.8
"305","39","11",0
"306","39","12",0.3
"307","39","13",0.7
"308","39","14",0.4
"309","39","15",0.5
"310","39","16",0.2
"311","40","01",0
"312","40","02",0.5
"313","40","03",0
"314","40","04",0.2
"315","40","05",0.5
"316","41","01",0.7
"317","41","02",0
"318","41","03",0.9
"319","41","04",0.9
"320","41","05",0.8
"321","42","01",0.7
"322","42","02",0.9
"323","42","03",0.5
"324","42","04",0
"325","42","05",0.8
"326","42","06",0.8
"327","42","07",0.6
"328","42","08",0.5
"329","42","09",0.7
"330","42","10",0.2
"331","42","11",0.4
"332","42","12",0.4
"333","42","13",0
"334","42","14",0.2
"335","42","15",0.4
"336","42","16",0.3
"337","42","17",0.8
"338","42","18",0.5
"339","44","01",0.4
"340","44","02",0
"341","45","01",0.7
"342","45","02",0.6
"343","45","03",0.7
"344","45","04",0
"345","45","05",0.5
"346","45","06",0.6
"347","45","07",0.5
"348","46","01",0
"349","47","01",0.2
"350","47","02",0.6
"351","47","03",0.5
"352","47","04",0.2
"353","47","05",0.4
"354","47","06",0
"355","47","07",0.2
"356","47","08",0
"357","47","09",0.7
"358","48","01",0.2
"359","48","02",0.3
"360","48","03",0.3
"361","48","04",0.5
"362","48","05",0.8
"363","48","06",0
"364","48","07",0.6
"365","48","08",0
"366","48","09",0
"367","48","10",0.4
"368","48","11",0
"369","48","12",0.5
"370","48","14",0.6
"371","48","15",0.7
"372","48","16",0.6
"373","48","17",0.4
"374","48","18",0
"375","48","19",0.3
"376","48","20",0
"377","48","21",0.2
"378","48","22",0
"379","48","23",0
"380","48","24",0.4
"381","48","25",0.3
"382","48","26",0.6
"383","48","27",0.7
"384","48","28",0.7
"385","48","29",0
"386","48","30",0.8
"387","48","31",0.5
"388","48","32",0.5
"389","48","33",0
"390","48","34",0
"391","48","35",0.7
"392","48","36",0.2
"393","49","01",0
"394","49","02",0.2
"395","49","03",0.5
"396","49","04",0.5
"397","50","01",0.9
"398","51","01",0
"399","51","02",0.3
"400","51","03",0.5
"401","51","04",0.7
"402","51","05",0.5
"403","51","06",0.2
"404","51","07",0
"405","51","08",0.9
"406","51","09",0.5
"407","51","10",0.1
"408","51","11",0.8
"409","53","01",0
"410","53","02",0
"411","53","03",0.5
"412","53","04",0.3
"413","53","05",0.5
"414","53","06",0.8
"415","53","07",0
"416","53","08",0.5
"417","53","09",0.8
"418","53","10",0.7
"419","54","01",0.3
"420","54","02",0
"421","54","03",0.2
"422","55","01",0.2
"423","55","02",0.8
"424","55","03",0.7
"425","55","04",0
"426","55","05",0.5
"427","55","06",0.5
"428","55","07",0.7
"429","55","08",0.6
"430","56","01",0.5
