,State,CD,HRC,DJT,HRCper,DJTper
115,13,2,4,1,0.8,0.2
116,13,3,0,5,0,0
117,13,4,2,1,0.7,0.3
118,13,5,3,0,0,0
119,13,6,2,4,0.3,0.7
120,13,7,8,13,0.4,0.6
121,13,8,4,1,0.8,0.2
122,13,9,1,3,0.2,0.8
123,13,10,0,1,0,0
124,13,11,3,4,0.4,0.6
125,13,12,3,1,0.8,0.2
126,13,13,1,1,0.5,0.5
127,13,14,1,1,0.5,0.5
128,15,1,2,0,0,0
129,15,2,1,2,0.3,0.7
130,16,1,4,11,0.3,0.7
131,16,2,14,5,0.7,0.3
132,17,1,6,0,0,0
133,17,2,1,0,0,0
134,17,3,5,6,0.5,0.5
135,17,5,7,2,0.8,0.2
136,17,6,4,4,0.5,0.5
137,17,7,11,1,0.9,0.1
138,17,8,2,2,0.5,0.5
139,17,9,3,2,0.6,0.4
140,17,10,3,0,0,0
141,17,11,6,1,0.9,0.1
142,17,12,8,14,0.4,0.6
143,17,13,4,5,0.4,0.6
144,17,14,5,0,0,0
145,17,15,3,3,0.5,0.5
146,17,16,4,6,0.4,0.6
147,17,17,3,3,0.5,0.5
148,17,18,4,6,0.4,0.6
149,18,1,2,5,0.3,0.7
150,18,2,1,2,0.3,0.7
151,18,3,4,1,0.8,0.2
152,18,4,0,3,0,0
153,18,5,2,1,0.7,0.3
154,18,6,3,3,0.5,0.5
155,18,7,12,6,0.7,0.3
156,18,8,1,5,0.2,0.8
157,18,9,2,6,0.2,0.8
158,19,1,3,1,0.8,0.2
159,19,2,6,3,0.7,0.3
160,19,3,2,4,0.3,0.7
161,19,4,0,3,0,0
162,20,1,3,6,0.3,0.7
163,20,2,2,3,0.4,0.6
164,20,3,8,5,0.6,0.4
165,20,4,16,14,0.5,0.5
166,21,1,1,7,0.1,0.9
167,21,2,4,3,0.6,0.4
168,21,3,3,1,0.8,0.2
169,21,4,3,6,0.3,0.7
170,21,5,2,5,0.3,0.7
171,21,6,4,4,0.5,0.5
172,22,1,2,5,0.3,0.7
173,22,2,2,2,0.5,0.5
174,22,3,0,1,0,0
175,22,4,2,2,0.5,0.5
176,22,5,0,12,0,0
177,22,6,6,6,0.5,0.5
178,23,1,1,4,0.2,0.8
179,23,2,1,2,0.3,0.7
180,24,1,4,5,0.4,0.6
181,24,2,2,1,0.7,0.3
182,24,3,4,1,0.8,0.2
183,24,4,2,2,0.5,0.5
184,24,5,4,3,0.6,0.4
185,24,6,14,5,0.7,0.3
186,24,7,4,2,0.7,0.3
187,24,8,9,9,0.5,0.5
188,25,1,5,3,0.6,0.4
189,25,2,3,5,0.4,0.6
190,25,3,0,1,0,0
191,25,4,7,0,0,0
192,25,5,6,0,0,0
193,25,6,8,3,0.7,0.3
194,25,7,12,2,0.9,0.1
195,25,8,8,5,0.6,0.4
196,25,9,9,3,0.8,0.2
197,26,1,3,4,0.4,0.6
198,26,2,2,2,0.5,0.5
199,26,3,4,3,0.6,0.4
200,26,4,5,2,0.7,0.3
201,26,5,5,4,0.6,0.4
202,26,6,8,9,0.5,0.5
203,26,7,3,1,0.8,0.2
204,26,8,3,6,0.3,0.7
205,26,9,5,1,0.8,0.2
206,26,10,2,4,0.3,0.7
207,26,11,1,3,0.2,0.8
208,26,12,3,1,0.8,0.2
209,26,13,5,1,0.8,0.2
210,26,14,4,1,0.8,0.2
